ID number,Surname,Faculty,Origin,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
BT107_1,BT107_Masked_1,Science and Arts,"web, ws",42,4,0,0,3,3,1,25,0,0,0,0,0,0,0,5,31,0,4,6,7,4,20,0,1,78,47,28,75
BT107_2,BT107_Masked_2,Pharmacy,web,16,0,1,1,3,3,3,11,0,0,0,0,0,0,0,0,12,0,5,10,0,0,11,0,0,38,44,35,79
BT107_3,BT107_Masked_3,Applied Medical Sciences,"web, ws",44,1,0,2,3,3,5,14,0,0,0,0,0,0,0,1,14,1,9,18,1,4,23,0,1,72,35,17,52
BT107_4,BT107_Masked_4,Pharmacy,web,96,12,0,0,3,3,1,11,0,0,0,0,0,0,2,4,20,0,9,10,3,13,45,15,5,126,42,24,66
BT107_5,BT107_Masked_5,Applied Medical Sciences,web,190,33,2,31,3,3,3,12,0,0,0,0,0,0,0,0,49,6,34,43,18,41,49,17,20,277,33,27,60
BT107_6,BT107_Masked_6,Pharmacy,"web, ws",114,12,0,0,3,3,5,16,0,0,0,0,0,0,0,2,20,3,55,16,10,11,31,4,1,153,46,35,81
BT107_7,BT107_Masked_7,Agriculture,"web, ws",54,2,0,0,4,4,7,67,0,0,0,0,0,0,2,1,54,0,8,10,3,4,32,21,3,138,39,39,78
BT107_8,BT107_Masked_8,Agriculture,"web, ws",49,2,0,1,3,3,3,23,0,0,0,0,0,0,0,0,28,0,1,12,5,16,15,4,3,84,46,42,88
BT107_9,BT107_Masked_9,Applied Medical Sciences,"web, ws",33,1,0,1,3,3,1,11,0,0,0,0,0,0,0,0,11,5,5,14,0,0,17,0,1,53,30,20,50
BT107_10,BT107_Masked_10,Pharmacy,"web, ws",12,0,0,0,3,3,5,23,0,0,0,0,0,0,0,0,27,0,0,6,2,0,11,0,0,46,47,28,75
BT107_11,BT107_Masked_11,Applied Medical Sciences,web,39,1,0,1,3,3,3,19,0,0,0,0,0,0,2,0,20,0,5,13,6,1,20,1,1,69,39,29,68
BT107_12,BT107_Masked_12,Pharmacy,"web, ws",27,0,0,3,3,3,3,28,0,0,0,0,0,0,0,0,28,0,0,9,0,0,28,0,2,67,37,30,67
BT107_13,BT107_Masked_13,Pharmacy,"web, ws",7,1,0,2,1,1,4,8,0,0,0,0,0,0,1,0,2,0,2,1,0,0,16,1,1,24,20,15,35
BT107_14,BT107_Masked_14,Pharmacy,"web, ws",33,1,0,0,1,1,5,10,0,0,0,0,0,0,0,0,0,0,8,0,3,0,39,1,0,51,19,17,36
BT107_15,BT107_Masked_15,Applied Medical Sciences,"web, ws",96,17,0,2,3,3,2,9,0,0,0,0,0,0,4,11,24,6,14,21,0,16,21,5,10,132,46,44,90
BT107_16,BT107_Masked_16,Science and Arts,"web, ws",40,5,0,0,3,3,2,13,0,0,0,0,0,0,0,0,24,0,8,9,0,4,20,1,0,66,50,44,94
BT107_17,BT107_Masked_17,Medicine,web,66,11,0,0,3,3,5,25,0,0,0,0,0,0,0,1,34,1,15,15,6,0,13,13,15,113,45,45,90
BT107_18,BT107_Masked_18,Applied Medical Sciences,"web, ws",61,5,0,1,3,3,4,12,0,0,0,0,0,0,1,2,32,0,11,13,0,9,18,2,1,89,33,33,66
BT107_19,BT107_Masked_19,Applied Medical Sciences,web,41,1,0,1,3,3,4,35,0,0,0,0,0,0,1,7,36,0,2,9,0,0,24,6,3,88,44,34,78
BT107_20,BT107_Masked_20,Agriculture,web,38,1,0,0,2,2,0,6,0,0,0,0,0,0,1,0,13,0,0,10,2,3,19,1,0,49,34,28,62
BT107_21,BT107_Masked_21,Science and Arts,web,15,0,1,1,3,3,3,18,0,0,0,0,0,0,0,0,17,0,5,8,0,0,14,0,0,44,35,37,72
BT107_22,BT107_Masked_22,Agriculture,web,48,6,0,3,2,2,1,7,0,0,0,0,0,0,1,1,0,0,4,11,4,9,30,5,4,69,35,29,64
BT107_23,BT107_Masked_23,Medicine,"web, ws",19,3,0,1,3,3,4,23,0,0,0,0,0,0,0,12,24,0,0,6,0,3,10,0,1,56,44,48,92
BT107_24,BT107_Masked_24,Pharmacy,"web, ws",117,5,0,3,3,3,4,19,0,0,0,0,0,0,4,4,35,2,17,9,18,2,57,1,5,154,48,44,92
BT107_25,BT107_Masked_25,Agriculture,web,38,2,0,0,3,3,2,13,0,0,0,0,0,0,0,7,12,0,0,10,1,2,27,0,2,61,43,29,72
BT107_26,BT107_Masked_26,Science and Arts,web,22,3,0,0,3,3,2,32,0,0,0,0,0,0,0,0,37,0,2,7,0,0,14,2,3,65,38,24,62
BT107_27,BT107_Masked_27,Science and Arts,"web, ws",51,2,0,2,3,3,3,28,0,0,0,0,0,0,0,2,40,0,8,8,0,0,6,25,3,92,40,35,75
BT107_28,BT107_Masked_28,Applied Medical Sciences,web,17,1,0,0,3,3,0,14,0,0,0,0,0,0,0,0,15,0,0,8,0,0,12,2,1,38,40,18,58
BT107_29,BT107_Masked_29,Pharmacy,"web, ws",62,8,0,3,3,3,5,13,0,0,0,0,0,0,0,1,35,0,2,21,0,0,31,2,5,97,49,44,93
BT107_30,BT107_Masked_30,Applied Medical Sciences,"web, ws",38,8,0,0,3,3,6,26,0,0,0,0,0,0,0,0,17,1,8,4,0,0,35,14,5,84,34,33,67
BT107_31,BT107_Masked_31,Agriculture,"web, ws",56,1,0,0,3,3,5,29,0,0,0,0,0,0,0,3,44,4,2,16,1,5,18,1,3,97,45,44,89
BT107_32,BT107_Masked_32,Pharmacy,"web, ws",14,0,0,0,1,1,3,15,0,0,0,0,0,0,1,0,30,0,0,0,3,0,0,0,0,34,22,22,44
BT107_33,BT107_Masked_33,Science and Arts,"web, ws",22,1,0,2,3,3,10,18,0,0,0,0,0,0,0,0,10,0,3,18,0,2,24,1,1,59,40,45,85
BT107_34,BT107_Masked_34,Pharmacy,"web, ws",37,0,0,1,3,3,2,11,0,0,0,0,0,0,0,2,17,1,2,5,0,0,23,5,2,57,49,25,74
BT107_35,BT107_Masked_35,Agriculture,web,11,1,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,8,2,0,13,0,1,24,26,24,50
BT107_36,BT107_Masked_36,Agriculture,"web, ws",35,0,0,2,3,3,1,15,0,0,0,0,0,0,0,0,19,0,0,6,3,6,15,8,2,59,28,22,50
BT107_37,BT107_Masked_37,Applied Medical Sciences,web,45,0,0,0,3,3,0,17,0,0,0,0,0,0,0,0,29,0,9,15,1,0,14,0,0,68,38,18,56
BT107_38,BT107_Masked_38,Applied Medical Sciences,web,12,0,0,0,2,2,2,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,18,0,0,33,27,24,51
BT107_39,BT107_Masked_39,Agriculture,web,57,8,0,0,3,3,2,11,0,0,0,0,0,0,0,3,17,1,5,10,8,13,17,10,0,84,35,19,54
BT107_40,BT107_Masked_40,Applied Medical Sciences,web,68,9,0,0,3,3,3,21,0,0,0,0,0,0,2,8,35,5,7,19,2,5,19,0,5,107,43,34,77
BT107_41,BT107_Masked_41,Applied Medical Sciences,"web, ws",28,2,0,8,3,3,0,9,0,0,0,0,0,0,0,0,10,0,6,9,2,2,21,2,1,53,44,27,71
BT107_42,BT107_Masked_42,Agriculture,"web, ws",40,4,0,0,3,3,1,10,0,0,0,0,0,0,0,0,17,0,7,10,2,1,19,0,5,61,46,39,85
BT107_43,BT107_Masked_43,Applied Medical Sciences,"web, ws",33,2,0,2,3,3,2,11,0,0,0,0,0,0,0,2,16,0,1,13,0,8,12,4,0,56,40,19,59
BT107_44,BT107_Masked_44,Pharmacy,web,21,1,0,0,3,3,1,28,0,0,0,0,0,0,0,0,26,0,2,7,0,0,5,16,1,57,38,37,75
BT107_45,BT107_Masked_45,Applied Medical Sciences,"web, ws",58,4,0,4,3,3,2,13,0,0,0,0,0,0,1,0,27,4,18,6,3,1,24,0,3,87,45,29,74
BT107_46,BT107_Masked_46,Science and Arts,"web, ws",50,6,0,1,3,3,3,15,0,0,0,0,0,0,0,3,33,0,19,11,0,3,10,0,2,81,48,44,92
BT107_47,BT107_Masked_47,Applied Medical Sciences,"web, ws",22,1,0,1,3,3,1,11,0,0,0,0,0,0,2,0,11,2,0,7,0,3,15,1,1,42,33,25,58
BT107_48,BT107_Masked_48,Applied Medical Sciences,web,18,0,0,1,3,3,2,39,0,0,0,0,0,0,0,0,39,0,2,6,0,3,15,0,1,66,45,19,64
BT107_49,BT107_Masked_49,Agriculture,"web, ws",59,5,0,2,3,3,3,17,0,0,0,0,0,0,3,4,23,8,10,18,0,3,18,3,2,92,35,15,50
BT107_50,BT107_Masked_50,Agriculture,web,18,2,0,0,3,2,1,14,0,0,0,0,0,0,0,0,13,0,0,8,1,0,12,2,4,40,35,40,75
BT107_51,BT107_Masked_51,Pharmacy,"web, ws",29,4,0,4,2,2,2,6,0,0,0,0,0,0,0,0,2,0,0,11,2,2,24,6,2,49,35,32,67
BT107_52,BT107_Masked_52,Agriculture,web,45,3,1,1,4,4,0,43,0,0,0,0,0,0,0,0,48,2,4,9,3,9,13,11,2,101,49,49,98
BT107_53,BT107_Masked_53,Applied Medical Sciences,"web, ws",11,1,0,7,2,2,1,6,0,0,0,0,0,0,0,0,0,0,2,6,0,0,18,3,1,30,28,28,56
BT107_54,BT107_Masked_54,Pharmacy,web,34,2,0,0,3,3,2,18,0,0,0,0,0,0,2,0,28,0,2,9,1,2,17,0,1,62,35,17,52
BT107_55,BT107_Masked_55,Applied Medical Sciences,"web, ws",57,1,0,1,3,3,1,10,0,0,0,0,0,0,0,0,26,0,0,8,7,4,30,0,1,76,30,20,50
BT107_56,BT107_Masked_56,Applied Medical Sciences,web,53,1,0,1,3,3,3,22,0,0,0,0,0,0,0,0,33,0,6,8,2,4,23,9,1,86,34,27,61
BT107_57,BT107_Masked_57,Pharmacy,web,36,2,0,0,3,3,3,45,0,0,0,0,0,0,0,1,51,0,7,11,1,1,17,3,0,92,43,25,68
BT107_58,BT107_Masked_58,Science and Arts,"web, ws",34,1,0,6,3,3,3,24,0,0,0,0,0,0,1,0,24,4,5,8,1,0,24,3,4,74,41,33,74
BT107_59,BT107_Masked_59,Agriculture,"web, ws",51,1,0,0,3,3,2,24,0,0,0,0,0,0,4,0,47,0,7,5,1,0,16,1,3,84,45,37,82
BT107_60,BT107_Masked_60,Science and Arts,web,18,4,0,0,3,3,3,15,0,0,0,0,0,0,0,0,12,0,3,15,0,0,15,0,1,46,37,40,77
BT107_61,BT107_Masked_61,Pharmacy,"web, ws",85,18,0,1,3,3,3,19,0,0,0,0,0,0,1,9,32,4,19,21,6,9,21,7,3,132,47,35,82
BT107_62,BT107_Masked_62,Agriculture,web,19,0,0,0,3,3,3,16,0,0,0,0,0,0,0,0,16,0,0,7,1,1,17,0,2,44,32,48,80
BT107_63,BT107_Masked_63,Agriculture,"web, ws",50,1,1,8,2,2,0,7,0,0,0,0,0,0,3,0,0,0,2,11,0,0,53,1,1,71,38,19,57
BT107_64,BT107_Masked_64,Science and Arts,web,29,7,0,1,3,3,2,11,0,0,0,0,0,0,0,0,20,0,2,12,0,7,14,1,0,56,37,35,72
BT107_65,BT107_Masked_65,Science and Arts,"web, ws",56,4,0,8,3,3,5,21,0,0,0,0,0,0,0,1,32,4,9,17,0,4,27,5,1,100,48,33,81
BT107_66,BT107_Masked_66,Pharmacy,"web, ws",26,2,0,0,2,2,1,6,0,0,0,0,0,0,0,0,3,0,0,16,7,0,9,2,2,39,20,38,58
BT107_67,BT107_Masked_67,Applied Medical Sciences,"web, ws",36,2,0,0,2,2,2,7,0,0,0,0,0,0,0,0,0,1,0,10,3,14,20,3,0,51,19,43,62
BT107_68,BT107_Masked_68,Pharmacy,web,21,2,0,1,3,3,4,12,0,0,0,0,0,0,0,0,17,0,2,7,0,0,18,1,1,46,43,35,78
BT107_69,BT107_Masked_69,Science and Arts,"web, ws",44,10,0,1,3,3,3,14,0,0,0,0,0,0,1,1,16,4,9,8,4,6,17,5,7,78,48,43,91
BT107_70,BT107_Masked_70,Applied Medical Sciences,"web, ws",23,1,0,7,3,3,0,23,0,0,0,0,0,0,0,0,24,0,5,7,0,0,22,2,0,60,38,32,70
BT107_71,BT107_Masked_71,Agriculture,"web, ws",62,5,0,1,3,3,6,14,0,0,0,0,0,0,0,0,21,3,0,25,4,2,34,4,1,94,47,25,72
BT107_72,BT107_Masked_72,Science and Arts,"web, ws",32,1,0,0,3,3,4,32,0,0,0,0,0,0,0,3,35,0,1,11,0,5,15,0,5,75,44,23,67
BT107_73,BT107_Masked_73,Agriculture,web,30,3,0,0,3,3,3,19,0,0,0,0,0,0,0,0,25,0,2,13,1,0,15,0,5,61,48,38,86
BT107_74,BT107_Masked_74,Applied Medical Sciences,web,149,6,0,4,3,3,6,24,0,0,0,0,0,0,1,4,43,22,14,25,0,12,64,5,5,195,41,32,73
BT107_75,BT107_Masked_75,Applied Medical Sciences,"web, ws",218,21,0,4,3,2,2,11,0,0,0,0,0,0,10,7,44,22,91,24,8,10,16,14,15,261,39,30,69
BT107_76,BT107_Masked_76,Pharmacy,web,53,0,0,1,3,3,4,14,0,0,0,0,0,0,0,7,28,0,5,8,2,0,22,2,4,78,48,42,90
BT107_77,BT107_Masked_77,Applied Medical Sciences,web,45,2,0,0,3,3,2,15,0,0,0,0,0,0,0,0,24,5,9,12,1,0,17,0,2,70,24,18,42
BT107_78,BT107_Masked_78,Science and Arts,"web, ws",13,0,0,0,2,2,4,29,0,0,0,0,0,0,0,0,28,3,2,2,0,0,15,0,0,50,42,34,76
BT107_79,BT107_Masked_79,Agriculture,"web, ws",94,13,0,0,3,3,3,20,0,0,0,0,0,0,0,4,40,0,15,28,0,17,23,1,8,136,49,43,92
BT107_80,BT107_Masked_80,Pharmacy,web,32,3,0,0,3,3,4,18,0,0,0,0,0,0,0,1,24,0,2,12,0,1,18,1,4,63,47,34,81
BT107_81,BT107_Masked_81,Pharmacy,"web, ws",18,0,0,1,3,3,4,25,0,0,0,0,0,0,2,0,30,0,1,6,0,0,12,3,0,54,46,33,79
BT107_82,BT107_Masked_82,Applied Medical Sciences,"web, ws",14,0,0,0,3,3,3,17,0,0,0,0,0,0,1,0,15,6,0,5,0,0,13,0,0,40,37,27,64
BT107_83,BT107_Masked_83,Applied Medical Sciences,"web, ws",55,5,0,5,3,3,0,10,0,0,0,0,0,0,4,1,13,4,14,16,4,0,19,0,6,81,35,38,73
BT107_84,BT107_Masked_84,Applied Medical Sciences,web,25,1,1,3,3,3,0,21,0,0,0,0,0,0,0,0,27,0,0,9,3,1,16,1,0,57,38,18,56
BT107_85,BT107_Masked_85,Agriculture,"web, ws",34,0,0,1,3,3,4,24,0,0,0,0,0,0,0,8,24,0,1,8,0,4,24,0,0,69,42,30,72
BT107_86,BT107_Masked_86,Applied Medical Sciences,web,17,1,0,0,3,3,3,11,0,0,0,0,0,0,1,2,11,0,0,6,2,0,14,1,1,38,27,19,46
BT107_87,BT107_Masked_87,Applied Medical Sciences,"web, ws",22,0,0,7,3,3,1,11,0,0,0,0,0,0,0,0,11,0,0,7,0,1,24,4,0,47,33,20,53
BT107_88,BT107_Masked_88,Applied Medical Sciences,web,12,0,2,5,3,3,3,11,0,0,0,0,0,0,0,5,10,0,0,6,0,0,18,0,0,39,29,15,44
BT107_89,BT107_Masked_89,Agriculture,"web, ws",103,3,0,3,3,3,2,19,0,0,0,0,0,0,0,6,37,2,11,41,7,11,15,2,4,136,45,49,94
BT107_90,BT107_Masked_90,Science and Arts,web,35,1,0,1,3,3,1,12,0,0,0,0,0,0,0,0,18,2,1,7,1,2,24,1,0,56,37,24,61
BT107_91,BT107_Masked_91,Applied Medical Sciences,"web, ws",31,1,0,5,3,3,20,44,0,0,0,0,0,0,0,0,34,0,1,11,1,0,56,4,0,107,34,47,81
BT107_92,BT107_Masked_92,Agriculture,web,60,10,0,1,3,3,1,13,0,0,0,0,0,0,0,1,37,1,5,16,0,10,15,2,4,91,32,18,50
BT107_93,BT107_Masked_93,Pharmacy,"web, ws",23,0,0,2,3,3,1,10,0,0,0,0,0,0,0,0,10,0,0,5,12,0,14,1,0,42,42,25,67
BT107_94,BT107_Masked_94,Science and Arts,"web, ws",44,5,0,0,3,3,3,17,0,0,0,0,0,0,6,4,21,0,7,7,1,6,16,3,4,75,36,30,66
BT107_95,BT107_Masked_95,Science and Arts,"web, ws",49,1,0,4,3,3,0,12,0,0,0,0,0,0,0,0,20,0,4,6,30,0,12,0,0,72,40,28,68
BT107_96,BT107_Masked_96,Pharmacy,"web, ws",19,0,0,2,3,3,3,23,0,0,0,0,0,0,0,0,23,0,7,6,0,3,13,1,0,53,41,25,66
BT107_97,BT107_Masked_97,Agriculture,web,75,3,0,11,3,3,2,12,0,0,0,0,0,0,0,2,11,0,13,17,3,5,53,3,2,109,40,17,57
BT107_98,BT107_Masked_98,Applied Medical Sciences,web,75,0,0,0,2,2,2,14,0,0,0,0,0,0,1,3,27,0,19,10,9,2,22,0,2,95,17,25,42
BT107_99,BT107_Masked_99,Pharmacy,web,24,2,0,1,3,3,4,15,0,0,0,0,0,0,1,0,12,0,10,12,0,1,15,0,1,52,41,23,64
BT107_100,BT107_Masked_100,Applied Medical Sciences,"web, ws",45,1,0,0,3,3,3,13,0,0,0,0,0,0,0,7,15,0,0,9,11,0,19,0,7,68,37,29,66
BT107_101,BT107_Masked_101,Science and Arts,"web, ws",22,0,0,0,3,3,1,25,0,0,0,0,0,0,0,0,24,0,3,5,6,3,13,0,0,54,41,34,75
BT107_102,BT107_Masked_102,Applied Medical Sciences,"web, ws",31,2,0,0,2,2,2,6,0,0,0,0,0,0,0,0,5,0,14,9,3,0,12,0,2,45,24,26,50
BT107_103,BT107_Masked_103,Pharmacy,"web, ws",28,1,0,0,3,3,2,13,0,0,0,0,0,0,1,1,14,0,6,8,6,0,13,1,0,50,41,28,69
BT107_104,BT107_Masked_104,Pharmacy,web,46,2,0,3,3,3,2,11,0,0,0,0,0,0,2,0,15,0,6,9,18,1,16,1,2,70,38,25,63
BT107_105,BT107_Masked_105,Applied Medical Sciences,"web, ws",47,2,0,6,4,4,3,21,0,0,0,0,0,0,0,0,17,3,2,8,3,1,23,24,6,87,39,33,72
BT107_106,BT107_Masked_106,Medicine,"web, ws",121,18,1,1,3,3,3,27,0,0,0,0,0,0,1,1,69,1,21,35,5,20,17,0,7,177,48,40,88
BT107_107,BT107_Masked_107,Pharmacy,"web, ws",26,5,0,1,3,3,2,20,0,0,0,0,0,0,0,3,27,0,3,10,0,2,14,0,1,60,46,28,74
BT107_108,BT107_Masked_108,Pharmacy,"web, ws",30,2,0,1,3,3,3,11,0,0,0,0,0,0,1,0,11,0,4,8,1,0,25,0,3,53,39,27,66
BT107_109,BT107_Masked_109,Medicine,"web, ws",85,1,0,9,3,3,7,16,0,0,0,0,0,0,3,5,27,7,7,15,14,14,29,2,1,124,31,34,65
BT107_110,BT107_Masked_110,Applied Medical Sciences,"web, ws",198,31,0,3,3,3,1,54,0,0,0,0,0,0,4,2,107,5,41,29,23,32,42,1,7,293,43,24,67
BT107_111,BT107_Masked_111,Agriculture,"web, ws",58,33,0,1,3,3,3,12,0,0,0,0,0,0,0,6,27,4,3,9,5,13,43,2,1,113,39,28,67
BT107_112,BT107_Masked_112,Applied Medical Sciences,"web, ws",56,2,0,1,3,3,3,11,0,0,0,0,0,0,1,0,18,12,6,11,6,0,21,3,1,79,31,37,68
BT107_113,BT107_Masked_113,Pharmacy,"web, ws",42,5,0,1,3,3,3,20,0,0,0,0,0,0,0,0,24,0,14,14,1,5,12,1,6,77,48,47,95
BT107_114,BT107_Masked_114,Pharmacy,web,15,0,0,1,3,3,3,13,0,0,0,0,0,0,0,0,11,0,6,6,0,0,13,2,0,38,41,37,78
BT107_115,BT107_Masked_115,Applied Medical Sciences,"web, ws",67,6,0,7,3,3,3,12,0,0,0,0,0,0,2,2,20,1,15,14,7,16,18,4,2,101,40,33,73
BT107_116,BT107_Masked_116,Pharmacy,"web, ws",102,13,0,5,3,3,2,11,0,0,0,0,0,0,1,0,34,0,3,16,8,6,36,15,20,139,43,28,71
BT107_117,BT107_Masked_117,Veterinary Medicine,web,17,0,0,0,3,2,1,10,0,0,0,0,0,0,0,0,3,0,0,7,1,0,20,1,1,33,20,24,44
BT107_118,BT107_Masked_118,Pharmacy,"web, ws",55,5,0,5,3,3,4,20,0,0,0,0,0,0,6,2,19,0,14,18,0,12,18,3,3,95,49,47,96
BT107_119,BT107_Masked_119,Agriculture,web,63,8,0,0,3,3,2,19,0,0,0,0,0,0,0,0,40,0,9,20,3,9,14,1,2,98,41,39,80
BT107_120,BT107_Masked_120,Science and Arts,web,13,1,0,0,2,2,2,20,0,0,0,0,0,0,0,0,1,0,2,0,1,1,13,21,1,40,27,14,41
BT107_121,BT107_Masked_121,Pharmacy,"web, ws",45,4,0,3,3,3,3,11,0,0,0,0,0,0,3,1,16,0,6,10,2,2,26,0,6,72,42,33,75
BT107_122,BT107_Masked_122,Pharmacy,"web, ws",53,0,0,9,3,3,3,11,0,0,0,0,0,0,2,1,24,0,17,9,0,2,17,10,0,82,47,50,97
BT107_123,BT107_Masked_123,Applied Medical Sciences,"web, ws",7,1,0,1,2,2,3,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,1,30,31,25,56
BT107_124,BT107_Masked_124,Pharmacy,web,32,0,0,4,3,3,2,27,0,0,0,0,0,0,0,0,38,0,1,8,1,0,23,0,0,71,41,45,86
BT107_125,BT107_Masked_125,Applied Medical Sciences,"web, ws",66,2,0,1,3,3,2,12,0,0,0,0,0,0,5,0,24,1,7,16,5,4,14,9,4,89,41,22,63
BT107_126,BT107_Masked_126,Science and Arts,web,37,0,0,5,3,3,5,17,0,0,0,0,0,0,0,0,18,0,2,17,1,3,21,8,0,70,47,37,84
BT107_127,BT107_Masked_127,Applied Medical Sciences,web,77,21,0,0,2,2,2,6,0,0,0,0,0,0,0,3,0,14,14,25,22,0,24,5,3,110,34,19,53
BT107_128,BT107_Masked_128,Pharmacy,web,63,6,0,0,3,3,2,19,0,0,0,0,0,0,0,0,39,0,1,17,2,6,20,3,8,96,49,38,87
BT107_129,BT107_Masked_129,Pharmacy,web,41,0,0,0,2,2,1,6,0,0,0,0,0,0,1,0,0,0,2,7,0,0,34,0,8,52,41,30,71
BT107_130,BT107_Masked_130,Pharmacy,"web, ws",61,1,0,4,3,3,2,12,0,0,0,0,0,0,3,1,32,0,13,14,0,4,16,1,2,86,42,37,79
BT107_131,BT107_Masked_131,Medicine,web,33,6,0,1,3,3,7,15,0,0,0,0,0,0,0,0,13,5,3,23,3,5,15,0,1,68,41,24,65
BT107_132,BT107_Masked_132,Agriculture,"web, ws",41,1,0,3,2,2,1,6,0,0,0,0,0,0,0,0,7,9,5,16,1,5,12,0,1,56,38,17,55
BT107_133,BT107_Masked_133,Agriculture,web,19,2,0,1,1,1,1,7,0,0,0,0,0,0,0,0,2,2,3,1,0,0,4,19,1,32,28,24,52
BT107_134,BT107_Masked_134,Agriculture,web,65,7,0,3,3,3,0,10,0,0,0,0,0,0,0,0,17,2,0,23,1,2,29,12,5,91,35,23,58
BT107_135,BT107_Masked_135,Science and Arts,"web, ws",19,0,0,3,3,3,5,22,0,0,0,0,0,0,0,1,28,0,6,10,0,0,10,0,0,55,30,24,54
BT107_136,BT107_Masked_136,Pharmacy,web,66,0,0,0,3,3,3,11,0,0,0,0,0,0,0,0,14,0,27,11,2,6,21,1,4,86,33,28,61
BT107_137,BT107_Masked_137,Pharmacy,"web, ws",31,5,0,1,3,3,3,19,0,0,0,0,0,0,1,1,29,1,2,8,0,0,21,0,2,65,50,43,93
BT107_138,BT107_Masked_138,Applied Medical Sciences,"web, ws",33,1,0,2,3,3,2,15,0,0,0,0,0,0,2,2,16,0,2,15,0,0,20,2,0,59,39,29,68
