ID number,Surname,Faculty,Origin,Course module viewed,Grade overview report viewed,Grade user report viewed,Message sent,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Sessions viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
CHEM262_1,CHEM262_Masked_1,Pharmacy ,web,32,0,0,0,4,4,4,39,0,0,0,0,0,0,0,0,0,0,2,14,28,19,20,0,0,0,83,49,24,73
CHEM262_2,CHEM262_Masked_2,Veterinary Medicine,web,61,0,9,0,5,5,4,47,0,0,0,0,0,0,0,0,0,0,0,18,21,22,31,33,6,0,131,42,30,72
CHEM262_3,CHEM262_Masked_3,Veterinary Medicine,web,101,0,1,0,4,4,5,46,0,0,0,0,0,0,0,0,0,0,0,13,58,27,5,58,0,0,161,46,20,65
CHEM262_4,CHEM262_Masked_4,Pharmacy ,"web, ws",120,2,19,0,4,4,5,42,0,0,0,0,0,0,0,0,0,0,5,26,80,49,30,6,0,0,196,49,41,89
CHEM262_5,CHEM262_Masked_5,Veterinary Medicine,web,73,0,0,0,4,4,6,62,0,0,0,0,0,0,0,0,0,0,3,35,48,45,17,1,0,0,149,49,30,79
CHEM262_6,CHEM262_Masked_6,Veterinary Medicine,web,51,0,2,0,4,4,5,53,0,0,0,0,0,0,0,0,0,0,0,17,36,38,25,3,0,0,119,49,30,79
CHEM262_7,CHEM262_Masked_7,Engineering,"web, ws",28,0,1,0,4,4,5,54,0,0,0,0,0,0,0,0,0,0,4,13,36,16,27,0,0,0,96,49,32,80
CHEM262_8,CHEM262_Masked_8,Agriculture ,"web, ws",23,0,4,0,3,3,3,26,0,0,0,0,0,0,0,0,0,0,3,14,18,1,21,2,3,0,62,35,24,59
CHEM262_9,CHEM262_Masked_9,Pharmacy ,"web, ws",38,0,2,0,2,2,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,88,0,2,132,45,36,81
CHEM262_10,CHEM262_Masked_10,Agriculture ,web,48,0,0,0,4,4,5,86,0,0,0,0,0,0,0,0,0,0,5,32,38,4,33,35,0,0,147,50,29,79
CHEM262_11,CHEM262_Masked_11,Nurse,ws,27,0,7,0,4,4,7,62,0,0,0,0,0,0,0,0,0,1,3,19,41,27,15,4,0,1,111,49,39,88
CHEM262_12,CHEM262_Masked_12,Pharmacy ,web,43,0,0,0,4,4,4,84,0,0,0,0,0,0,0,0,0,0,0,13,33,58,35,0,0,0,139,41,32,73
CHEM262_13,CHEM262_Masked_13,Agriculture ,web,41,0,0,0,4,4,6,39,0,0,0,0,0,0,0,0,0,0,1,25,28,20,20,0,0,0,94,49,26,74
CHEM262_14,CHEM262_Masked_14,Nurse,web,67,0,0,0,4,4,5,71,0,0,0,0,0,0,0,0,0,0,4,25,45,53,22,2,0,0,151,49,41,89
CHEM262_15,CHEM262_Masked_15,Engineering,web,19,1,1,0,4,4,6,98,0,0,0,0,0,0,0,0,0,0,0,35,33,40,23,2,0,0,133,49,41,89
CHEM262_16,CHEM262_Masked_16,Agriculture ,web,17,0,0,0,4,4,4,37,0,0,0,0,0,0,0,0,0,0,0,1,16,20,12,15,2,0,66,15,36,50
CHEM262_17,CHEM262_Masked_17,Science and Arts,web,18,0,2,0,4,3,4,98,0,0,0,0,0,0,0,0,0,0,0,21,37,41,29,1,0,0,129,49,21,70
CHEM262_18,CHEM262_Masked_18,Science and Arts,"web, ws",36,0,4,0,4,4,4,84,0,0,0,0,0,0,0,0,0,0,1,23,44,39,28,1,0,0,136,49,38,86
CHEM262_19,CHEM262_Masked_19,Veterinary Medicine,web,39,0,0,0,4,4,4,35,0,0,0,0,0,0,0,0,0,0,0,14,21,25,18,0,8,0,86,46,32,77
CHEM262_20,CHEM262_Masked_20,Pharmacy ,web,34,0,0,0,4,4,5,55,0,0,0,0,0,0,0,0,0,1,5,18,25,30,23,0,0,0,102,49,39,88
CHEM262_21,CHEM262_Masked_21,Pharmacy ,web,18,0,1,0,4,4,4,72,0,0,0,0,0,0,0,0,0,0,3,21,30,27,22,0,0,0,103,49,39,88
CHEM262_22,CHEM262_Masked_22,Pharmacy ,"web, ws",48,0,1,0,4,4,4,54,1,0,0,0,0,0,0,0,0,4,4,22,22,44,19,1,0,0,116,49,29,77
CHEM262_23,CHEM262_Masked_23,Nurse,web,80,1,6,0,4,4,6,110,0,0,0,0,0,0,0,0,0,0,1,23,48,13,36,90,0,0,211,50,26,76
CHEM262_24,CHEM262_Masked_24,Veterinary Medicine,"web, ws",29,0,5,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,1,13,25,24,15,0,0,0,78,47,47,94
CHEM262_25,CHEM262_Masked_25,Agriculture ,"web, ws",33,0,7,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,0,18,22,24,30,0,0,0,94,49,26,74
CHEM262_26,CHEM262_Masked_26,Nurse,web,17,0,0,0,4,4,8,46,0,0,0,0,0,0,0,0,0,0,0,12,33,18,16,0,0,0,79,49,38,86
CHEM262_27,CHEM262_Masked_27,Nurse,ws,60,0,1,0,4,4,6,60,0,0,0,0,0,0,0,0,0,5,3,17,46,27,37,0,0,0,135,49,26,74
CHEM262_28,CHEM262_Masked_28,Veterinary Medicine,"web, ws",60,0,1,0,4,4,4,55,0,0,0,0,0,0,0,0,0,0,2,19,55,34,17,0,1,0,128,49,35,83
CHEM262_29,CHEM262_Masked_29,Nurse,"web, ws",97,0,16,0,4,4,4,77,0,0,0,0,0,0,0,0,0,8,6,25,73,48,36,6,0,0,202,49,39,88
CHEM262_30,CHEM262_Masked_30,Applied Medical Sciences,"web, ws",44,0,0,0,4,4,4,34,0,0,0,0,0,0,0,0,0,1,3,11,28,27,17,3,0,0,90,49,26,74
CHEM262_31,CHEM262_Masked_31,Pharmacy ,web,13,0,0,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,0,18,17,18,14,0,0,0,67,49,35,83
CHEM262_32,CHEM262_Masked_32,Applied Medical Sciences,web,61,0,0,0,4,4,3,96,0,0,0,0,0,0,0,0,0,2,3,26,57,42,34,4,0,0,168,49,44,92
CHEM262_33,CHEM262_Masked_33,Pharmacy ,"web, ws",85,0,1,0,4,4,6,130,1,0,0,0,0,0,0,0,0,2,11,19,97,47,46,2,0,7,231,47,30,77
CHEM262_34,CHEM262_Masked_34,Nurse,web,75,0,1,0,5,5,4,47,0,0,0,0,0,0,0,0,0,1,1,19,23,26,37,29,1,0,137,41,32,73
CHEM262_35,CHEM262_Masked_35,Agriculture ,web,21,0,0,0,4,4,5,42,0,0,0,0,0,0,0,0,0,0,2,21,20,18,15,0,0,0,76,49,20,68
CHEM262_36,CHEM262_Masked_36,Nurse,"web, ws",79,0,2,0,3,3,5,63,0,0,0,0,0,0,0,0,0,3,9,37,42,16,41,7,0,0,155,23,21,44
CHEM262_37,CHEM262_Masked_37,Pharmacy ,web,14,0,3,0,4,4,4,38,0,0,0,0,0,0,0,0,0,0,1,11,15,17,23,0,0,0,67,49,30,79
CHEM262_38,CHEM262_Masked_38,Nurse,"web, ws",55,0,6,0,4,4,8,97,0,0,0,0,0,0,0,0,0,1,3,40,31,39,17,41,2,0,174,49,27,76
CHEM262_39,CHEM262_Masked_39,Pharmacy ,web,21,0,4,0,4,4,6,83,0,0,0,0,0,0,0,0,0,2,2,20,36,30,32,0,0,0,122,49,27,76
CHEM262_40,CHEM262_Masked_40,Pharmacy ,"web, ws",35,0,2,0,5,5,6,51,0,0,0,0,0,0,0,0,0,0,8,23,18,22,17,16,0,0,104,49,24,73
CHEM262_41,CHEM262_Masked_41,Veterinary Medicine,web,24,0,0,0,3,3,3,29,0,0,0,0,0,0,0,0,0,0,0,6,23,19,14,0,0,0,62,39,21,60
CHEM262_42,CHEM262_Masked_42,Veterinary Medicine,"web, ws",12,0,23,0,4,4,6,82,0,0,0,0,0,0,0,0,0,0,0,21,61,37,12,0,0,0,131,49,27,76
CHEM262_43,CHEM262_Masked_43,Pharmacy ,"web, ws",18,0,9,0,5,5,8,124,0,0,0,0,0,0,0,0,0,0,0,18,27,60,15,47,2,0,169,47,32,79
CHEM262_44,CHEM262_Masked_44,Pharmacy ,web,37,0,1,0,4,4,4,70,0,0,0,0,0,0,0,0,0,0,6,21,35,36,19,3,0,0,120,47,30,77
CHEM262_45,CHEM262_Masked_45,Veterinary Medicine,"web, ws",14,0,1,0,3,3,3,27,0,0,0,0,0,0,0,0,0,1,0,0,19,14,13,4,0,0,51,39,29,67
CHEM262_46,CHEM262_Masked_46,Agriculture ,web,78,0,5,0,4,4,4,77,0,0,0,0,0,0,0,0,0,1,3,21,58,52,32,4,1,0,172,49,30,79
CHEM262_47,CHEM262_Masked_47,Pharmacy ,web,63,0,2,0,4,4,5,99,0,0,0,0,0,0,0,0,0,1,0,24,67,38,42,0,0,5,177,49,32,80
CHEM262_48,CHEM262_Masked_48,Veterinary Medicine,web,43,0,0,0,4,4,7,91,0,0,0,0,0,0,0,0,0,0,0,29,60,32,28,0,0,0,149,49,33,82
CHEM262_49,CHEM262_Masked_49,Veterinary Medicine,web,60,0,0,0,4,4,4,107,0,0,0,0,0,0,0,0,0,0,1,45,56,43,30,4,0,0,179,49,20,68
CHEM262_50,CHEM262_Masked_50,Veterinary Medicine,"web, ws",15,0,1,0,4,3,5,37,0,0,0,0,0,0,0,0,0,0,0,15,14,20,15,1,0,0,65,49,24,73
CHEM262_51,CHEM262_Masked_51,Pharmacy ,web,49,0,0,0,4,3,5,39,1,0,0,0,0,0,0,0,0,0,0,18,22,8,15,38,0,0,101,49,17,65
CHEM262_52,CHEM262_Masked_52,Science and Arts,ws,63,0,0,1,4,4,6,67,0,0,0,0,0,0,0,0,0,4,2,18,45,36,28,2,0,10,145,40,20,59
CHEM262_53,CHEM262_Masked_53,Pharmacy ,web,28,0,1,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,12,26,20,15,0,0,0,73,49,33,82
CHEM262_54,CHEM262_Masked_54,Veterinary Medicine,web,17,0,0,0,3,3,3,23,0,0,0,0,0,0,0,0,0,0,1,11,24,0,13,0,0,0,49,34,9,43
CHEM262_55,CHEM262_Masked_55,Pharmacy ,ws,40,0,0,0,4,4,8,48,0,0,0,0,0,0,0,0,0,1,0,23,19,21,20,6,14,0,104,49,23,71
CHEM262_56,CHEM262_Masked_56,Nurse,"web, ws",48,0,16,0,4,4,4,72,1,0,0,0,0,0,0,0,0,1,3,26,26,37,7,46,2,1,149,45,21,66
CHEM262_57,CHEM262_Masked_57,Veterinary Medicine,ws,34,0,44,0,5,5,9,68,0,0,0,0,0,0,0,0,0,0,0,18,44,18,34,51,0,0,165,32,38,70
CHEM262_58,CHEM262_Masked_58,Pharmacy ,"web, ws",29,0,0,0,4,4,5,59,0,0,0,0,0,0,0,0,0,1,0,24,38,18,20,0,0,0,101,49,26,74
CHEM262_59,CHEM262_Masked_59,Pharmacy ,web,95,0,0,0,4,4,11,93,13,0,0,0,0,0,0,0,0,4,23,84,31,49,29,0,0,0,220,47,26,73
CHEM262_60,CHEM262_Masked_60,Agriculture ,web,40,0,0,0,5,5,5,42,1,0,0,0,0,0,0,0,0,0,0,17,27,15,22,17,0,0,98,49,39,88
CHEM262_61,CHEM262_Masked_61,Pharmacy ,web,31,0,0,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,0,12,30,18,7,18,0,0,85,47,21,68
CHEM262_62,CHEM262_Masked_62,Engineering,web,49,0,0,0,4,4,6,72,0,0,0,0,0,0,0,0,0,0,4,29,42,26,34,0,0,0,135,49,33,82
CHEM262_63,CHEM262_Masked_63,Pharmacy ,web,34,0,0,0,4,4,4,35,1,0,0,0,0,0,0,0,0,1,5,10,18,22,13,13,0,0,82,47,38,84
CHEM262_64,CHEM262_Masked_64,Science and Arts,web,95,0,2,0,4,4,4,40,0,0,0,0,0,0,0,0,0,0,5,22,47,49,25,1,0,0,149,47,15,62
CHEM262_65,CHEM262_Masked_65,Agriculture ,"web, ws",39,0,5,0,4,4,4,32,0,0,0,0,0,0,0,0,0,1,1,19,25,19,21,2,0,0,88,49,32,80
CHEM262_66,CHEM262_Masked_66,Agriculture ,"web, ws",43,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,1,4,15,25,27,15,0,0,0,87,49,38,86
CHEM262_67,CHEM262_Masked_67,Applied Medical Sciences,"web, ws",44,0,0,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,1,27,27,27,16,0,0,0,98,49,33,82
CHEM262_68,CHEM262_Masked_68,Agriculture ,"web, ws",42,0,0,0,4,4,5,60,0,0,0,0,0,0,0,0,0,1,0,25,40,33,16,0,0,0,115,49,24,73
CHEM262_69,CHEM262_Masked_69,Applied Medical Sciences,web,63,0,4,0,4,4,3,75,0,0,0,0,0,0,0,0,0,1,0,15,43,8,18,68,0,0,153,47,21,68
CHEM262_70,CHEM262_Masked_70,Veterinary Medicine,web,14,0,2,0,4,4,6,79,0,0,0,0,0,0,0,0,0,0,0,31,22,30,26,0,0,0,109,47,30,77
CHEM262_71,CHEM262_Masked_71,Pharmacy ,web,39,0,0,0,4,4,4,67,0,0,0,0,0,0,0,0,0,1,0,21,44,29,23,0,0,0,118,49,30,79
CHEM262_72,CHEM262_Masked_72,Applied Medical Sciences,web,21,0,0,0,4,4,5,175,0,0,0,0,0,0,0,0,0,0,1,41,55,75,37,0,0,0,209,49,36,85
CHEM262_73,CHEM262_Masked_73,Science and Arts,web,43,0,1,0,4,4,5,35,0,0,0,0,0,0,0,0,0,4,1,14,24,29,18,1,0,1,92,47,33,80
CHEM262_74,CHEM262_Masked_74,Applied Medical Sciences,web,18,0,0,0,4,4,6,93,0,0,0,0,0,0,0,0,0,0,1,32,36,36,20,0,0,0,125,49,32,80
CHEM262_75,CHEM262_Masked_75,Agriculture ,"web, ws",40,0,1,0,4,4,4,32,0,0,0,0,0,0,0,0,0,1,1,13,26,22,14,8,0,0,85,49,38,86
CHEM262_76,CHEM262_Masked_76,Applied Medical Sciences,"web, ws",43,0,4,0,4,4,4,62,0,0,0,0,0,0,0,0,0,1,1,21,26,40,29,3,0,0,121,49,35,83
CHEM262_77,CHEM262_Masked_77,Agriculture ,web,65,0,0,0,4,4,4,77,2,0,0,0,0,0,0,0,0,0,5,13,32,51,11,44,0,0,156,49,32,80
CHEM262_78,CHEM262_Masked_78,Veterinary Medicine,"web, ws",23,0,3,0,4,4,5,68,0,0,0,0,0,0,0,0,0,0,0,20,40,33,13,1,0,0,107,49,33,82
CHEM262_79,CHEM262_Masked_79,Pharmacy ,"web, ws",35,0,0,0,4,4,4,82,0,0,0,0,0,0,0,0,0,1,9,20,42,28,29,0,0,0,129,49,35,83
CHEM262_80,CHEM262_Masked_80,Applied Medical Sciences,web,30,0,0,0,4,4,6,94,1,0,0,0,0,0,0,0,0,0,0,22,48,39,30,0,0,0,139,49,27,76
CHEM262_81,CHEM262_Masked_81,Veterinary Medicine,web,21,0,0,0,4,4,4,34,0,0,0,0,0,0,0,0,0,0,0,12,21,17,17,0,0,0,67,49,20,68
CHEM262_82,CHEM262_Masked_82,Pharmacy ,web,29,0,0,0,4,4,5,90,0,0,0,0,0,0,0,0,0,0,1,31,47,28,25,0,0,0,132,49,41,89
CHEM262_83,CHEM262_Masked_83,Engineering,web,20,0,0,0,4,4,4,72,0,0,0,0,0,0,0,0,0,0,3,20,28,31,22,0,0,0,104,49,26,74
CHEM262_84,CHEM262_Masked_84,Veterinary Medicine,web,22,0,0,0,3,3,3,28,0,0,0,0,0,0,0,0,0,0,0,11,20,15,0,0,13,0,59,39,35,73
CHEM262_85,CHEM262_Masked_85,Science and Arts,web,17,0,0,0,3,3,3,56,0,0,0,0,0,0,0,0,0,0,3,22,30,3,24,0,0,0,82,35,30,65
CHEM262_86,CHEM262_Masked_86,Veterinary Medicine,web,37,0,1,0,4,4,5,39,0,0,0,0,0,0,0,0,0,0,0,12,34,24,20,0,0,0,90,49,27,76
CHEM262_87,CHEM262_Masked_87,Pharmacy ,web,72,0,0,0,4,4,5,71,0,0,0,0,0,0,0,0,0,2,0,18,58,37,34,6,1,0,156,46,35,80
CHEM262_88,CHEM262_Masked_88,Pharmacy ,"web, ws",55,0,0,0,4,4,12,166,0,0,0,0,0,0,0,0,0,1,15,25,54,48,96,2,0,0,241,49,38,86
CHEM262_89,CHEM262_Masked_89,Pharmacy ,"web, ws",47,0,1,0,4,4,5,81,0,0,0,0,0,0,0,0,0,0,4,22,37,41,35,3,0,0,142,49,39,88
CHEM262_90,CHEM262_Masked_90,Pharmacy ,web,55,0,2,0,5,5,6,129,0,0,0,0,0,0,0,0,0,1,4,23,45,46,30,49,4,0,202,49,38,86
CHEM262_91,CHEM262_Masked_91,Science and Arts,web,40,0,0,0,4,4,3,36,0,0,0,0,0,0,0,0,0,0,0,11,32,19,14,0,0,11,87,49,21,70
CHEM262_92,CHEM262_Masked_92,Pharmacy ,"web, ws",50,0,2,0,4,4,4,85,2,0,0,0,0,0,0,0,0,4,4,38,34,40,27,4,0,0,151,49,21,70
CHEM262_93,CHEM262_Masked_93,Pharmacy ,web,58,0,0,0,4,4,9,161,0,0,0,0,0,0,0,0,0,4,2,61,66,46,34,2,21,0,236,49,41,89
CHEM262_94,CHEM262_Masked_94,Science and Arts,"web, ws",31,0,3,0,4,4,7,90,0,0,0,0,0,0,0,0,0,0,5,26,42,32,32,0,2,0,139,49,38,86
CHEM262_95,CHEM262_Masked_95,Pharmacy ,web,45,0,1,0,4,4,5,116,0,0,0,0,0,0,0,0,0,1,3,36,42,54,39,0,0,0,175,49,35,83
CHEM262_96,CHEM262_Masked_96,Agriculture ,web,36,0,0,0,4,4,4,100,0,0,0,0,0,0,0,0,0,0,4,34,44,36,30,0,0,0,148,49,27,76
CHEM262_97,CHEM262_Masked_97,Pharmacy ,"web, ws",54,0,13,0,4,4,10,110,0,0,0,0,0,0,0,0,0,0,0,22,75,12,33,53,0,0,195,50,27,77
CHEM262_98,CHEM262_Masked_98,Veterinary Medicine,web,32,0,4,0,4,4,10,126,0,0,0,0,0,0,0,0,0,0,1,43,51,48,37,0,0,0,180,49,21,70
CHEM262_99,CHEM262_Masked_99,Nurse,"web, ws",134,0,2,0,4,4,6,59,7,0,0,0,0,0,0,0,0,2,12,35,73,54,24,12,4,0,216,49,26,74
CHEM262_100,CHEM262_Masked_100,Pharmacy ,web,34,0,0,0,4,4,5,86,0,0,0,0,0,0,0,0,0,0,1,22,39,38,26,7,0,0,133,49,29,77
CHEM262_101,CHEM262_Masked_101,Pharmacy ,web,44,0,0,0,4,4,4,52,0,0,0,0,0,0,0,0,0,3,2,24,40,20,14,0,5,0,108,49,32,80
CHEM262_102,CHEM262_Masked_102,Veterinary Medicine,web,22,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,15,19,17,15,0,0,0,66,49,32,80
CHEM262_103,CHEM262_Masked_103,Veterinary Medicine,web,14,0,1,0,4,4,5,35,0,0,0,0,0,0,0,0,0,0,0,12,20,15,16,0,0,0,63,49,21,70
CHEM262_104,CHEM262_Masked_104,Pharmacy ,"web, ws",14,0,7,0,4,4,5,70,0,0,0,0,0,0,0,0,0,0,0,22,32,27,22,1,0,0,104,49,26,74
CHEM262_105,CHEM262_Masked_105,Agriculture ,"web, ws",56,0,0,0,6,5,7,73,0,0,0,0,0,0,0,0,0,0,8,26,53,31,23,6,0,0,147,49,20,68
CHEM262_106,CHEM262_Masked_106,Pharmacy ,"web, ws",58,0,1,0,4,4,4,39,0,0,0,0,0,0,0,0,0,0,1,20,22,21,23,0,0,23,110,49,41,89
CHEM262_107,CHEM262_Masked_107,Agriculture ,web,91,0,0,0,4,4,4,88,0,0,0,0,0,0,0,0,0,0,2,25,59,71,26,8,0,0,191,49,27,76
CHEM262_108,CHEM262_Masked_108,Pharmacy ,web,80,0,1,0,4,4,5,84,0,0,0,0,0,0,0,0,0,0,0,33,45,58,34,8,0,0,178,47,42,89
CHEM262_109,CHEM262_Masked_109,Pharmacy ,web,92,0,0,0,4,4,4,124,0,0,0,0,0,0,0,0,0,0,9,38,60,56,54,0,1,10,228,49,38,86
CHEM262_110,CHEM262_Masked_110,Agriculture ,"web, ws",56,0,0,0,4,4,5,41,1,0,0,0,0,0,0,0,0,0,4,26,37,20,24,0,0,0,111,49,38,86
CHEM262_111,CHEM262_Masked_111,Nurse,web,16,0,0,0,4,4,5,37,0,0,0,0,0,0,0,0,0,1,0,11,22,16,16,0,0,0,66,47,18,65
CHEM262_112,CHEM262_Masked_112,Engineering,"web, ws",25,0,1,0,4,4,5,65,0,0,0,0,0,0,0,0,0,0,0,18,28,31,25,1,1,0,104,49,20,68
CHEM262_113,CHEM262_Masked_113,Science and Arts,web,17,0,0,0,4,4,4,43,0,0,0,0,0,0,0,0,0,0,0,12,16,18,24,2,0,0,72,49,27,76
CHEM262_114,CHEM262_Masked_114,Agriculture ,web,35,0,6,0,4,4,5,83,0,0,0,0,0,0,0,0,0,0,0,17,47,42,31,0,0,0,137,49,17,65
CHEM262_115,CHEM262_Masked_115,Veterinary Medicine,web,15,0,2,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,11,18,19,13,0,0,0,61,49,18,67
CHEM262_116,CHEM262_Masked_116,Agriculture ,web,45,0,1,0,4,4,4,44,0,0,0,0,0,0,0,0,0,0,1,18,37,30,16,0,0,0,102,49,32,80
CHEM262_117,CHEM262_Masked_117,Pharmacy ,web,32,0,4,0,4,4,5,64,0,0,0,0,0,0,0,0,0,1,0,18,35,34,25,0,0,0,113,49,44,92
CHEM262_118,CHEM262_Masked_118,Agriculture ,"web, ws",40,0,3,0,4,4,5,58,0,0,0,0,0,0,0,0,0,1,7,22,46,15,16,7,0,0,114,49,27,76
CHEM262_119,CHEM262_Masked_119,Pharmacy ,web,25,0,3,0,4,4,4,39,1,0,0,0,0,0,0,0,0,0,0,16,21,17,24,2,0,0,80,41,29,69
CHEM262_120,CHEM262_Masked_120,Pharmacy ,web,41,0,2,0,4,4,5,45,0,0,0,0,0,0,0,0,0,0,1,14,28,40,17,1,0,0,101,49,15,64
CHEM262_121,CHEM262_Masked_121,Applied Medical Sciences,web,64,0,0,0,4,4,4,60,0,0,0,0,0,0,0,0,0,1,3,25,51,30,25,1,0,0,136,49,35,83
CHEM262_122,CHEM262_Masked_122,Agriculture ,"web, ws",25,0,0,0,4,4,4,32,2,0,0,0,0,0,0,0,0,0,1,14,24,17,15,0,0,0,71,49,24,73
CHEM262_123,CHEM262_Masked_123,Nurse,web,79,0,0,0,4,4,7,59,3,0,0,0,0,0,0,0,0,0,9,27,67,26,19,8,0,0,156,43,17,60
CHEM262_124,CHEM262_Masked_124,Pharmacy ,web,20,0,0,0,4,4,5,91,0,0,0,0,0,0,0,0,0,0,0,20,38,38,28,0,0,0,124,49,33,82
CHEM262_125,CHEM262_Masked_125,Pharmacy ,web,45,0,2,0,4,4,6,46,0,0,0,0,0,0,0,0,0,0,1,11,53,23,19,0,0,0,107,49,36,85
CHEM262_126,CHEM262_Masked_126,Pharmacy ,web,28,0,1,0,4,4,6,77,0,0,0,0,0,0,0,0,0,0,0,23,38,43,16,0,0,0,120,49,38,86
CHEM262_127,CHEM262_Masked_127,Nurse,"web, ws",14,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,0,11,16,16,15,0,0,0,58,49,29,77
CHEM262_128,CHEM262_Masked_128,Pharmacy ,"web, ws",16,0,0,0,4,4,4,51,0,0,0,0,0,0,0,0,0,0,0,21,29,16,13,0,0,0,79,47,29,76
CHEM262_129,CHEM262_Masked_129,Agriculture ,web,23,0,1,0,4,4,4,41,0,0,0,0,0,0,0,0,0,0,5,11,24,23,13,0,1,0,77,49,17,65
CHEM262_130,CHEM262_Masked_130,Veterinary Medicine,web,13,0,1,0,4,4,4,42,0,0,0,0,0,0,0,0,0,0,1,10,26,15,16,0,0,0,68,47,21,68
CHEM262_131,CHEM262_Masked_131,Pharmacy ,web,52,0,0,0,4,4,4,40,0,0,0,0,0,0,0,0,0,0,2,23,28,22,26,3,0,0,104,49,33,82
CHEM262_132,CHEM262_Masked_132,Engineering,"web, ws",35,0,70,0,4,4,5,105,0,0,0,0,0,0,0,0,0,2,2,45,79,52,36,7,0,0,223,49,27,76
CHEM262_133,CHEM262_Masked_133,Engineering,web,2,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,32,42
CHEM262_134,CHEM262_Masked_134,Pharmacy ,ws,20,0,1,0,4,4,7,41,0,0,0,0,0,0,0,0,0,0,0,14,19,29,15,0,0,0,77,49,36,85
CHEM262_135,CHEM262_Masked_135,Science and Arts,"web, ws",54,0,2,0,4,4,8,66,0,0,0,0,0,0,0,0,0,0,2,22,46,29,37,2,0,0,138,49,26,74
CHEM262_136,CHEM262_Masked_136,Pharmacy ,"web, ws",17,0,0,0,4,4,4,90,0,0,0,0,0,0,0,0,0,0,1,18,33,40,27,0,0,0,119,47,23,70
CHEM262_137,CHEM262_Masked_137,Pharmacy ,ws,48,0,0,0,4,4,4,75,0,0,0,0,0,0,0,0,0,0,4,23,50,39,19,0,0,0,135,49,39,88
CHEM262_138,CHEM262_Masked_138,Pharmacy ,web,29,0,0,0,4,4,4,32,0,0,0,0,0,0,0,0,0,0,4,22,19,16,12,0,0,0,73,49,30,79
CHEM262_139,CHEM262_Masked_139,Engineering,"web, ws",32,0,27,0,4,4,9,85,0,0,0,0,0,0,0,0,0,1,1,35,53,40,27,4,0,0,161,49,36,85
CHEM262_140,CHEM262_Masked_140,Pharmacy ,web,21,0,1,0,4,4,5,72,0,0,0,0,0,0,0,0,0,0,0,19,32,36,19,1,0,0,107,49,41,89
CHEM262_141,CHEM262_Masked_141,Science and Arts,"web, ws",32,0,3,0,4,4,4,32,0,0,0,0,0,0,0,0,0,2,5,15,17,22,17,1,0,0,79,49,30,79
CHEM262_142,CHEM262_Masked_142,Pharmacy ,web,43,0,0,0,4,4,4,56,0,0,0,0,0,0,0,0,0,0,0,14,37,28,32,0,0,0,111,49,42,91
